District Court Judges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State and Court,Court Abbreviation,Judge Name,Appointment Year,Appointing President,Partisanship,Birth Year,Age,Years Served,Rule of 80,Eligible for Senior Status,Date Eligibile for Senior Status,Senior Status,Announce Retirement,Confirmation Vote,Chief,Link to Vote,Court Website,Notes
Southern District of New York,NY-S,John P. Cronan,2020,Trump,R,1976,47,3,50,No,2053,No,No,,No,,,
Southern District of New York,NY-S,Jennifer L. Rochon,2022,Biden,D,1970,53,1,54,No,2049,No,No,,No,,,
Southern District of New York,NY-S,Jennifer H. Rearden,2022,Biden,D,1970,53,1,54,No,2049,No,No,,No,,,
Southern District of New York,NY-S,Arun Subramanian,2023,Biden,D,1979,44,0,44,No,2059,No,No,,No,,,
Southern District of New York,NY-S,Jessica G. L. Clarke,2023,Biden,D,1983,40,0,40,No,2063,No,No,,No,,,
Southern District of New York,NY-S,Dale Ho,2023,Biden,D,1977,46,0,46,No,2057,No,No,,No,,,
Southern District of New York,NY-S,Margaret Garnett,2023,Biden,D,1971,52,0,52,No,2051,No,No,49-46,No,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1181/vote_118_1_00317.htm,,
Eastern District of New York,NY-E,Margo Kitsy Brodie,2012,Obama,D,1966,57,11,68,No,2035,No,No,,Yes,,,
Eastern District of New York,NY-E,Roslynn R. Mauskopf,2007,G.W. Bush,R,1957,66,16,82,Yes,2022,No,No,,No,,,
Eastern District of New York,NY-E,Pamela K. Chen,2013,Obama,D,1961,62,10,72,No,2031,No,No,,No,,,
Eastern District of New York,NY-E,Joan Azrack,2014,Obama,D,1951,72,9,81,Yes,2022,No,Yes,,No,,,
Eastern District of New York,NY-E,Ann Donnelly,2015,Obama,D,1959,64,8,72,No,2031,No,No,,No,,,
Eastern District of New York,NY-E,LaShann DeArcy Hall,2015,Obama,D,1970,53,8,61,No,2042,No,No,,No,,,
Eastern District of New York,NY-E,Rachel Kovner,2019,Trump,R,1979,44,4,48,No,2055,No,No,,No,,,
Eastern District of New York,NY-E,Eric R. Komitee,2019,Trump,R,1970,53,4,57,No,2046,No,No,,No,,,
Eastern District of New York,NY-E,Gary R. Brown,2019,Trump,R,1963,60,4,64,No,2039,No,No,,No,,,
Eastern District of New York,NY-E,Diane Gujarati,2020,Trump,R,1969,54,3,57,No,2046,No,No,,No,,,
Eastern District of New York,NY-E,Hector Gonzalez,2022,Biden,D,1964,59,1,60,No,2043,No,No,,No,,,
Eastern District of New York,NY-E,Nina Morrison,2022,Biden,D,1970,53,1,54,No,2049,No,No,,No,,,
Eastern District of New York,NY-E,Orelia Merchant,2023,Biden,D,1971,52,0,52,No,2051,No,No,,No,,,
Eastern District of New York,NY-E,Nusrat Jahan Choudhury,2023,Biden,D,1976,47,0,47,No,2056,No,No,,No,,,
Eastern District of New York,NY-E,Natasha C. Merle,2023,Biden,D,1983,40,0,40,No,2063,No,No,,No,,,
Eastern District of New York,NY-E,Ramon Reyes,2023,Biden,D,1966,57,0,57,No,2046,No,No,,No,,,
District of New Jersey,NJ,Renée Marie Bumb,2006,G.W. Bush,R,1960,63,17,80,No,2025,No,No,,Yes,,,
District of New Jersey,NJ,Susan D. Wigenton,2006,G.W. Bush,R,1962,61,17,78,No,2027,No,No,,No,,,
District of New Jersey,NJ,Claire C. Cecchi,2011,Obama,D,1964,59,12,71,No,2032,No,No,,No,,,
District of New Jersey,NJ,Esther Salas,2011,Obama,D,1968,55,12,67,No,2036,No,No,,No,,,
District of New Jersey,NJ,Michael A. Shipp,2012,Obama,D,1965,58,11,69,No,2034,No,No,,No,,,
District of New Jersey,NJ,Madeline Cox Arleo,2014,Obama,D,1963,60,9,69,No,2034,No,No,,No,,,
District of New Jersey,NJ,Brian R. Martinotti,2016,Obama,D,1961,62,7,69,No,2034,No,No,,No,,,
District of New Jersey,NJ,Julien Neals,2021,Biden,D,1965,58,2,60,No,2043,No,No,,No,,,
District of New Jersey,NJ,Zahid Quraishi,2021,Biden,D,1975,48,2,50,No,2053,No,No,,No,,,
